Latitude,Longitude,Source File,Stop Name,Line,Distance (m), Complex ID
40.757308,-73.989735,Subway_lines.csv,42 St-Port Authority Bus Terminal,ALine,0,611
40.762456,-73.985984,Subway_lines.csv,50 St,ALine,0,162
40.768296,-73.981736,Subway_lines.csv,59 St-Columbus Circle,ALine,0,614
40.775594,-73.97641,Subway_lines.csv,72 St,ALine,0,160
40.781433,-73.972143,Subway_lines.csv,81 St-Museum of Natural History,ALine,0,159
40.785868,-73.968916,Subway_lines.csv,86 St,ALine,0,158
40.791642,-73.964696,Subway_lines.csv,96 St,ALine,0,157
40.796092,-73.961454,Subway_lines.csv,103 St,ALine,0,156
40.800603,-73.958161,Subway_lines.csv,Cathedral Pkwy (110 St),ALine,0,155
40.805085,-73.954882,Subway_lines.csv,116 St,ALine,0,154
40.811109,-73.952343,Subway_lines.csv,125 St,ALine,0,153
40.817894,-73.947649,Subway_lines.csv,135 St,ALine,0,152
40.824783,-73.944216,Subway_lines.csv,145 St,ALine,0,151
40.830518,-73.941514,Subway_lines.csv,155 St,ALine,0,150
40.836013,-73.939892,Subway_lines.csv,163 St-Amsterdam Av,ALine,0,149
40.840719,-73.939561,Subway_lines.csv,168 St,ALine,0,605
40.847391,-73.939704,Subway_lines.csv,175 St,ALine,0,147
40.851695,-73.937969,Subway_lines.csv,181 St,ALine,0,146
40.859022,-73.93418,Subway_lines.csv,190 St,ALine,0,145
40.865491,-73.927271,Subway_lines.csv,Dyckman St,ALine,0,144
40.868072,-73.919899,Subway_lines.csv,Inwood-207 St,ALine,0,143
40.577621,-73.961376,Subway_lines.csv,Brighton Beach,BLine,0,55
40.586896,-73.954155,Subway_lines.csv,Sheepshead Bay,BLine,0,54
40.60867,-73.957734,Subway_lines.csv,Kings Hwy,BLine,0,51
40.635082,-73.962793,Subway_lines.csv,Newkirk Plaza,BLine,0,47
40.650527,-73.962982,Subway_lines.csv,Church Av,BLine,0,44
40.661614,-73.962246,Subway_lines.csv,Prospect Park,BLine,0,42
40.67705,-73.972367,Subway_lines.csv,7 Av,BLine,0,41
40.68446,-73.97689,Subway_lines.csv,Atlantic Av-Barclays Ctr,BLine,0,617
40.690635,-73.981824,Subway_lines.csv,DeKalb Av,BLine,0,26
40.718267,-73.993753,Subway_lines.csv,Grand St,BLine,0,231
40.725297,-73.996204,Subway_lines.csv,Broadway-Lafayette St,BLine,0,619
40.732338,-74.000495,Subway_lines.csv,W 4 St-Wash Sq,BLine,0,167
40.749719,-73.987823,Subway_lines.csv,34 St-Herald Sq,BLine,0,607
40.754222,-73.984569,Subway_lines.csv,42 St-Bryant Pk,BLine,0,609
40.758663,-73.981329,Subway_lines.csv,47-50 Sts-Rockefeller Ctr,BLine,0,225
40.762862,-73.981637,Subway_lines.csv,7 Av,BLine,0,277
40.768296,-73.981736,Subway_lines.csv,59 St-Columbus Circle,BLine,0,614
40.775594,-73.97641,Subway_lines.csv,72 St,BLine,0,160
40.781433,-73.972143,Subway_lines.csv,81 St-Museum of Natural History,BLine,0,159
40.785868,-73.968916,Subway_lines.csv,86 St,BLine,0,158
40.791642,-73.964696,Subway_lines.csv,96 St,BLine,0,157
40.796092,-73.961454,Subway_lines.csv,103 St,BLine,0,156
40.800603,-73.958161,Subway_lines.csv,Cathedral Pkwy (110 St),BLine,0,155
40.805085,-73.954882,Subway_lines.csv,116 St,BLine,0,154
40.811109,-73.952343,Subway_lines.csv,125 St,BLine,0,153
40.817894,-73.947649,Subway_lines.csv,135 St,BLine,0,152
40.824783,-73.944216,Subway_lines.csv,145 St,BLine,0,151
40.830135,-73.938209,Subway_lines.csv,155 St,BLine,0,220
