Latitude,Longitude,Source File,Stop Name,Line,Distance (m)
40.757308,-73.989735,MTA_Subway.csv,42 St-Port Authority Bus Terminal,8th Av - Fulton St,0
40.752287,-73.993391,MTA_Subway.csv,34 St-Penn Station,8th Av - Fulton St,0
40.745906,-73.998041,MTA_Subway.csv,23 St,8th Av - Fulton St,0
40.740893,-74.00169,MTA_Subway.csv,14 St,8th Av - Fulton St,0
40.732338,-74.000495,MTA_Subway.csv,W 4 St-Wash Sq,8th Av - Fulton St,0
40.732338,-74.000495,MTA_Subway.csv,W 4 St-Wash Sq,6th Av - Culver,0
40.726227,-74.003739,MTA_Subway.csv,Spring St,8th Av - Fulton St,0
40.720824,-74.005229,MTA_Subway.csv,Canal St,8th Av - Fulton St,0
40.714111,-74.008585,MTA_Subway.csv,Chambers St,8th Av - Fulton St,0
40.712582,-74.009781,MTA_Subway.csv,World Trade Center,8th Av - Fulton St,0
40.710197,-74.007691,MTA_Subway.csv,Fulton St,8th Av - Fulton St,0
40.699337,-73.990531,MTA_Subway.csv,High St,8th Av - Fulton St,0
40.692338,-73.987342,MTA_Subway.csv,Jay St-MetroTech,8th Av - Fulton St,0
40.688484,-73.985001,MTA_Subway.csv,Hoyt-Schermerhorn Sts,8th Av - Fulton St,0
40.686113,-73.973946,MTA_Subway.csv,Lafayette Av,8th Av - Fulton St,0
40.683263,-73.965838,MTA_Subway.csv,Clinton-Washington Avs,8th Av - Fulton St,0
40.68138,-73.956848,MTA_Subway.csv,Franklin Av,8th Av - Fulton St,0
40.680438,-73.950426,MTA_Subway.csv,Nostrand Av,8th Av - Fulton St,0
40.679921,-73.940858,MTA_Subway.csv,Kingston-Throop Avs,8th Av - Fulton St,0
40.679364,-73.930729,MTA_Subway.csv,Utica Av,8th Av - Fulton St,0
40.678822,-73.920786,MTA_Subway.csv,Ralph Av,8th Av - Fulton St,0
40.67834,-73.911946,MTA_Subway.csv,Rockaway Av,8th Av - Fulton St,0
40.678334,-73.905316,MTA_Subway.csv,Broadway Junction,8th Av - Fulton St,0
40.674542,-73.896548,MTA_Subway.csv,Liberty Av,8th Av - Fulton St,0
40.67271,-73.890358,MTA_Subway.csv,Van Siclen Av,8th Av - Fulton St,0
40.67413,-73.88075,MTA_Subway.csv,Shepherd Av,8th Av - Fulton St,0
40.675377,-73.872106,MTA_Subway.csv,Euclid Av,8th Av - Fulton St,0
40.677044,-73.86505,MTA_Subway.csv,Grant Av,Liberty Av,0
40.679371,-73.858992,MTA_Subway.csv,80 St,Liberty Av,0
40.679843,-73.85147,MTA_Subway.csv,88 St,Liberty Av,0
40.680429,-73.843853,MTA_Subway.csv,Rockaway Blvd,Liberty Av,0
40.681711,-73.837683,MTA_Subway.csv,104 St,Liberty Av,0
40.684331,-73.832163,MTA_Subway.csv,111 St,Liberty Av,0
40.685951,-73.825798,MTA_Subway.csv,Ozone Park-Lefferts Blvd,Liberty Av,0
40.672097,-73.835919,MTA_Subway.csv,Aqueduct Racetrack,Rockaway,0
40.668234,-73.834058,MTA_Subway.csv,Aqueduct-N Conduit Av,Rockaway,0
40.660476,-73.830301,MTA_Subway.csv,Howard Beach-JFK Airport,Rockaway,0
40.608382,-73.815925,MTA_Subway.csv,Broad Channel,Rockaway,0
40.588034,-73.813641,MTA_Subway.csv,Beach 90 St,Rockaway,0
40.585307,-73.820558,MTA_Subway.csv,Beach 98 St,Rockaway,0
40.583209,-73.827559,MTA_Subway.csv,Beach 105 St,Rockaway,0
40.580903,-73.835592,MTA_Subway.csv,Rockaway Park-Beach 116 St,Rockaway,0
40.590927,-73.796924,MTA_Subway.csv,Beach 67 St,Rockaway,0
40.592374,-73.788522,MTA_Subway.csv,Beach 60 St,Rockaway,0
40.592943,-73.776013,MTA_Subway.csv,Beach 44 St,Rockaway,0
40.595398,-73.768175,MTA_Subway.csv,Beach 36 St,Rockaway,0
40.600066,-73.761353,MTA_Subway.csv,Beach 25 St,Rockaway,0
40.603995,-73.755405,MTA_Subway.csv,Far Rockaway-Mott Av,Rockaway,0
40.874811,-73.878855,MTA_Subway.csv,Norwood-205 St,Concourse,0
40.873244,-73.887138,MTA_Subway.csv,Bedford Park Blvd,Concourse,0
40.866978,-73.893509,MTA_Subway.csv,Kingsbridge Rd,Concourse,0
40.861296,-73.897749,MTA_Subway.csv,Fordham Rd,Concourse,0
40.856093,-73.900741,MTA_Subway.csv,182-183 Sts,Concourse,0
40.85041,-73.905227,MTA_Subway.csv,Tremont Av,Concourse,0
40.8459,-73.910136,MTA_Subway.csv,174-175 Sts,Concourse,0
40.839306,-73.9134,MTA_Subway.csv,170 St,Concourse,0
40.833771,-73.91844,MTA_Subway.csv,167 St,Concourse,0
40.827905,-73.925651,MTA_Subway.csv,161 St-Yankee Stadium,Concourse,0
40.830135,-73.938209,MTA_Subway.csv,155 St,Concourse,0
40.754203,-73.942836,MTA_Subway.csv,21 St-Queensbridge,63rd St,0
40.759145,-73.95326,MTA_Subway.csv,Roosevelt Island,63rd St,0
40.764629,-73.966113,MTA_Subway.csv,Lexington Av/63 St,63rd St,0
40.763972,-73.97745,MTA_Subway.csv,57 St,6th Av - Culver,0
40.758663,-73.981329,MTA_Subway.csv,47-50 Sts-Rockefeller Ctr,6th Av - Culver,0
40.754222,-73.984569,MTA_Subway.csv,42 St-Bryant Pk,6th Av - Culver,0
40.749719,-73.987823,MTA_Subway.csv,34 St-Herald Sq,6th Av - Culver,0
40.742878,-73.992821,MTA_Subway.csv,23 St,6th Av - Culver,0
40.738228,-73.996209,MTA_Subway.csv,14 St,6th Av - Culver,0
40.725297,-73.996204,MTA_Subway.csv,Broadway-Lafayette St,6th Av - Culver,0
40.718267,-73.993753,MTA_Subway.csv,Grand St,6th Av - Culver,0
40.723402,-73.989938,MTA_Subway.csv,2 Av,6th Av - Culver,0
40.718611,-73.988114,MTA_Subway.csv,Delancey St-Essex St,6th Av - Culver,0
40.713715,-73.990173,MTA_Subway.csv,East Broadway,6th Av - Culver,0
40.701397,-73.986751,MTA_Subway.csv,York St,6th Av - Culver,0
40.686145,-73.990862,MTA_Subway.csv,Bergen St,6th Av - Culver,0
40.680303,-73.995048,MTA_Subway.csv,Carroll St,6th Av - Culver,0
40.67358,-73.995959,MTA_Subway.csv,Smith-9 Sts,6th Av - Culver,0
40.670272,-73.989779,MTA_Subway.csv,4 Av-9 St,6th Av - Culver,0
40.666271,-73.980305,MTA_Subway.csv,7 Av,6th Av - Culver,0
40.660365,-73.979493,MTA_Subway.csv,15 St-Prospect Park,6th Av - Culver,0
40.650782,-73.975776,MTA_Subway.csv,Fort Hamilton Pkwy,6th Av - Culver,0
40.644041,-73.979678,MTA_Subway.csv,Church Av,6th Av - Culver,0
40.636119,-73.978172,MTA_Subway.csv,Ditmas Av,6th Av - Culver,0
40.629755,-73.976971,MTA_Subway.csv,18 Av,6th Av - Culver,0
40.625322,-73.976127,MTA_Subway.csv,Avenue I,6th Av - Culver,0
40.620769,-73.975264,MTA_Subway.csv,Bay Pkwy,6th Av - Culver,0
40.61514,-73.974197,MTA_Subway.csv,Avenue N,6th Av - Culver,0
40.608944,-73.973022,MTA_Subway.csv,Avenue P,6th Av - Culver,0
40.603217,-73.972361,MTA_Subway.csv,Kings Hwy,6th Av - Culver,0
40.596063,-73.973357,MTA_Subway.csv,Avenue U,6th Av - Culver,0
40.58962,-73.97425,MTA_Subway.csv,Avenue X,6th Av - Culver,0
40.581011,-73.974574,MTA_Subway.csv,Neptune Av,6th Av - Culver,0
40.712646,-73.783817,MTA_Subway.csv,Jamaica-179 St,Queens Blvd,0
40.71047,-73.793604,MTA_Subway.csv,169 St,Queens Blvd,0
40.707564,-73.803326,MTA_Subway.csv,Parsons Blvd,Queens Blvd,0
40.70546,-73.810708,MTA_Subway.csv,Sutphin Blvd,Queens Blvd,0
40.709179,-73.820574,MTA_Subway.csv,Briarwood,Queens Blvd,0
40.714441,-73.831008,MTA_Subway.csv,Kew Gardens-Union Tpke,Queens Blvd,0
40.718331,-73.837324,MTA_Subway.csv,75 Av,Queens Blvd,0
40.721691,-73.844521,MTA_Subway.csv,Forest Hills-71 Av,Queens Blvd,0
40.726523,-73.852719,MTA_Subway.csv,67 Av,Queens Blvd,0
40.729846,-73.861604,MTA_Subway.csv,63 Dr-Rego Park,Queens Blvd,0
40.733106,-73.869229,MTA_Subway.csv,Woodhaven Blvd,Queens Blvd,0
40.737015,-73.877223,MTA_Subway.csv,Grand Av-Newtown,Queens Blvd,0
40.742454,-73.882017,MTA_Subway.csv,Elmhurst Av,Queens Blvd,0
40.746644,-73.891338,MTA_Subway.csv,Jackson Hts-Roosevelt Av,Queens Blvd,0
40.749669,-73.898453,MTA_Subway.csv,65 St,Queens Blvd,0
40.752885,-73.906006,MTA_Subway.csv,Northern Blvd,Queens Blvd,0
40.756312,-73.913333,MTA_Subway.csv,46 St,Queens Blvd,0
40.756879,-73.92074,MTA_Subway.csv,Steinway St,Queens Blvd,0
40.752039,-73.928781,MTA_Subway.csv,36 St,Queens Blvd,0
40.748973,-73.937243,MTA_Subway.csv,Queens Plaza,Queens Blvd,0
40.747846,-73.946,MTA_Subway.csv,Court Sq-23 St,Queens Blvd,0
40.757552,-73.969055,MTA_Subway.csv,Lexington Av/53 St,Queens Blvd,0
40.760167,-73.975224,MTA_Subway.csv,5 Av/53 St,Queens Blvd,0
40.762862,-73.981637,MTA_Subway.csv,7 Av,Queens Blvd,0
40.702147,-73.801109,MTA_Subway.csv,Jamaica Center-Parsons/Archer,Queens - Archer,0
40.700486,-73.807969,MTA_Subway.csv,Sutphin Blvd-Archer Av-JFK Airport,Queens - Archer,0
40.702566,-73.816859,MTA_Subway.csv,Jamaica-Van Wyck,Queens - Archer,0
40.746554,-73.943832,MTA_Subway.csv,Court Sq,Crosstown,0
40.744065,-73.949724,MTA_Subway.csv,21 St,Crosstown,0
40.731352,-73.954449,MTA_Subway.csv,Greenpoint Av,Crosstown,0
40.724635,-73.951277,MTA_Subway.csv,Nassau Av,Crosstown,0
40.712792,-73.951418,MTA_Subway.csv,Metropolitan Av,Crosstown,0
